Nume_actiune, Timestamp
Table BOOKS created,25-05-2021 18:54:01
Row inserted in BOOKS ,25-05-2021 18:54:01
Row inserted in BOOKS ,25-05-2021 18:54:01
Book displayed,25-05-2021 18:54:01
Row updated in BOOKS ,25-05-2021 18:54:01
Book displayed,25-05-2021 18:54:01
Row deleted in BOOKS ,25-05-2021 18:54:01
All books displayed,25-05-2021 18:54:01
Row inserted in BOOKS ,25-05-2021 18:54:01
Row inserted in BOOKS ,25-05-2021 18:54:01
All books displayed,25-05-2021 18:54:01
Table READERS created,25-05-2021 18:54:01
Row inserted in READERS ,25-05-2021 18:54:01
Reader displayed,25-05-2021 18:54:01
Row updated in READERS ,25-05-2021 18:54:01
Reader displayed,25-05-2021 18:54:01
Row inserted in READERS ,25-05-2021 18:54:01
Row deleted in READERS ,25-05-2021 18:54:01
All readers displayed,25-05-2021 18:54:01
changeSection,25-05-2021 18:54:27
displayBookAge,25-05-2021 18:54:27
calculateDaysAvailable,25-05-2021 18:54:27
getBooksByAuthor,25-05-2021 18:54:27
addBook,25-05-2021 18:54:27
sortBooks,25-05-2021 18:54:27
printReader,25-05-2021 18:54:27
removeBook,25-05-2021 18:54:27
printReader,25-05-2021 18:54:27
removeAllBooks,25-05-2021 18:54:27
printReader,25-05-2021 18:54:27
getReadersByAge,25-05-2021 18:54:27
sortReadersAlphabetically,25-05-2021 18:54:27
Table READERS dropped,25-05-2021 18:54:27
Table BOOKS dropped,25-05-2021 18:54:27
Table AUTHORS dropped,25-05-2021 18:54:27
Table SECTIONS dropped,25-05-2021 18:54:27
 ** AUTHORS **,25-05-2021 18:54:27
Row inserted in AUTHORS ,25-05-2021 18:54:27
Author displayed,25-05-2021 18:54:28
Row updated in AUTHORS ,25-05-2021 18:54:28
Author displayed,25-05-2021 18:54:28
Inserted authors from CSV file,25-05-2021 18:54:28
Row deleted in AUTHORS ,25-05-2021 18:54:28
All authors displayed,25-05-2021 18:54:28
Table SECTIONS created,25-05-2021 18:54:28
Row inserted in SECTIONS ,25-05-2021 18:54:28
Section displayed,25-05-2021 18:54:28
Row inserted in SECTIONS ,25-05-2021 18:54:28
Section displayed,25-05-2021 18:54:28
Row updated in SECTIONS ,25-05-2021 18:54:28
Section displayed,25-05-2021 18:54:28
Row inserted in SECTIONS ,25-05-2021 18:54:28
Row inserted in SECTIONS ,25-05-2021 18:54:28
Row inserted in SECTIONS ,25-05-2021 18:54:28
Row deleted in SECTIONS ,25-05-2021 18:54:28
All sections displayed,25-05-2021 18:54:28
Table BOOKS created,25-05-2021 18:54:28
Row inserted in BOOKS ,25-05-2021 18:54:28
Row inserted in BOOKS ,25-05-2021 18:54:28
Book displayed,25-05-2021 18:54:28
Row updated in BOOKS ,25-05-2021 18:54:28
Book displayed,25-05-2021 18:54:28
Row deleted in BOOKS ,25-05-2021 18:54:28
All books displayed,25-05-2021 18:54:28
Row inserted in BOOKS ,25-05-2021 18:54:28
Row inserted in BOOKS ,25-05-2021 18:54:28
All books displayed,25-05-2021 18:54:28
Table READERS created,25-05-2021 18:54:28
Row inserted in READERS ,25-05-2021 18:54:28
Reader displayed,25-05-2021 18:54:28
Row updated in READERS ,25-05-2021 18:54:28
Reader displayed,25-05-2021 18:54:28
Row inserted in READERS ,25-05-2021 18:54:28
Row deleted in READERS ,25-05-2021 18:54:28
All readers displayed,25-05-2021 18:54:28
