Nume_actiune, Timestamp
printReader,25-05-2021 18:26:19
getReadersByAge,25-05-2021 18:26:19
sortReadersAlphabetically,25-05-2021 18:26:19
changeSection,25-05-2021 18:28:04
displayBookAge,25-05-2021 18:28:04
calculateDaysAvailable,25-05-2021 18:28:04
getBooksByAuthor,25-05-2021 18:28:04
addBook,25-05-2021 18:28:04
sortBooks,25-05-2021 18:28:04
printReader,25-05-2021 18:28:04
removeBook,25-05-2021 18:28:04
printReader,25-05-2021 18:28:04
removeAllBooks,25-05-2021 18:28:04
printReader,25-05-2021 18:28:04
getReadersByAge,25-05-2021 18:28:04
sortReadersAlphabetically,25-05-2021 18:28:04
changeSection,25-05-2021 18:28:07
displayBookAge,25-05-2021 18:28:07
calculateDaysAvailable,25-05-2021 18:28:07
getBooksByAuthor,25-05-2021 18:28:07
addBook,25-05-2021 18:28:07
sortBooks,25-05-2021 18:28:07
printReader,25-05-2021 18:28:07
removeBook,25-05-2021 18:28:07
printReader,25-05-2021 18:28:07
removeAllBooks,25-05-2021 18:28:07
printReader,25-05-2021 18:28:07
getReadersByAge,25-05-2021 18:28:07
sortReadersAlphabetically,25-05-2021 18:28:07
changeSection,25-05-2021 18:28:41
displayBookAge,25-05-2021 18:28:41
calculateDaysAvailable,25-05-2021 18:28:41
getBooksByAuthor,25-05-2021 18:28:41
addBook,25-05-2021 18:28:41
sortBooks,25-05-2021 18:28:41
printReader,25-05-2021 18:28:41
removeBook,25-05-2021 18:28:41
printReader,25-05-2021 18:28:41
removeAllBooks,25-05-2021 18:28:41
printReader,25-05-2021 18:28:41
getReadersByAge,25-05-2021 18:28:41
sortReadersAlphabetically,25-05-2021 18:28:41
changeSection,25-05-2021 18:28:59
displayBookAge,25-05-2021 18:28:59
calculateDaysAvailable,25-05-2021 18:28:59
getBooksByAuthor,25-05-2021 18:28:59
addBook,25-05-2021 18:28:59
sortBooks,25-05-2021 18:28:59
printReader,25-05-2021 18:28:59
removeBook,25-05-2021 18:28:59
printReader,25-05-2021 18:28:59
removeAllBooks,25-05-2021 18:28:59
printReader,25-05-2021 18:28:59
getReadersByAge,25-05-2021 18:28:59
sortReadersAlphabetically,25-05-2021 18:28:59
changeSection,25-05-2021 18:29:08
displayBookAge,25-05-2021 18:29:08
calculateDaysAvailable,25-05-2021 18:29:08
getBooksByAuthor,25-05-2021 18:29:08
addBook,25-05-2021 18:29:08
sortBooks,25-05-2021 18:29:08
printReader,25-05-2021 18:29:08
removeBook,25-05-2021 18:29:08
printReader,25-05-2021 18:29:08
removeAllBooks,25-05-2021 18:29:08
printReader,25-05-2021 18:29:08
getReadersByAge,25-05-2021 18:29:08
sortReadersAlphabetically,25-05-2021 18:29:08
changeSection,25-05-2021 18:29:19
displayBookAge,25-05-2021 18:29:19
calculateDaysAvailable,25-05-2021 18:29:19
getBooksByAuthor,25-05-2021 18:29:19
addBook,25-05-2021 18:29:19
sortBooks,25-05-2021 18:29:19
printReader,25-05-2021 18:29:19
removeBook,25-05-2021 18:29:19
printReader,25-05-2021 18:29:19
removeAllBooks,25-05-2021 18:29:19
printReader,25-05-2021 18:29:19
getReadersByAge,25-05-2021 18:29:19
sortReadersAlphabetically,25-05-2021 18:29:19
changeSection,25-05-2021 18:29:42
displayBookAge,25-05-2021 18:29:42
calculateDaysAvailable,25-05-2021 18:29:42
getBooksByAuthor,25-05-2021 18:29:42
addBook,25-05-2021 18:29:42
sortBooks,25-05-2021 18:29:42
printReader,25-05-2021 18:29:42
removeBook,25-05-2021 18:29:42
printReader,25-05-2021 18:29:42
removeAllBooks,25-05-2021 18:29:42
printReader,25-05-2021 18:29:42
getReadersByAge,25-05-2021 18:29:42
sortReadersAlphabetically,25-05-2021 18:29:42
changeSection,25-05-2021 18:30:00
displayBookAge,25-05-2021 18:30:00
calculateDaysAvailable,25-05-2021 18:30:00
getBooksByAuthor,25-05-2021 18:30:00
addBook,25-05-2021 18:30:00
sortBooks,25-05-2021 18:30:00
printReader,25-05-2021 18:30:00
removeBook,25-05-2021 18:30:00
printReader,25-05-2021 18:30:00
removeAllBooks,25-05-2021 18:30:00
printReader,25-05-2021 18:30:00
getReadersByAge,25-05-2021 18:30:00
sortReadersAlphabetically,25-05-2021 18:30:00
changeSection,25-05-2021 18:30:10
displayBookAge,25-05-2021 18:30:10
calculateDaysAvailable,25-05-2021 18:30:10
getBooksByAuthor,25-05-2021 18:30:10
addBook,25-05-2021 18:30:10
sortBooks,25-05-2021 18:30:10
printReader,25-05-2021 18:30:10
removeBook,25-05-2021 18:30:10
printReader,25-05-2021 18:30:10
removeAllBooks,25-05-2021 18:30:10
printReader,25-05-2021 18:30:10
getReadersByAge,25-05-2021 18:30:10
sortReadersAlphabetically,25-05-2021 18:30:10
changeSection,25-05-2021 18:30:23
displayBookAge,25-05-2021 18:30:23
calculateDaysAvailable,25-05-2021 18:30:23
getBooksByAuthor,25-05-2021 18:30:23
addBook,25-05-2021 18:30:23
sortBooks,25-05-2021 18:30:23
printReader,25-05-2021 18:30:23
removeBook,25-05-2021 18:30:23
printReader,25-05-2021 18:30:23
removeAllBooks,25-05-2021 18:30:23
printReader,25-05-2021 18:30:23
getReadersByAge,25-05-2021 18:30:23
sortReadersAlphabetically,25-05-2021 18:30:23
changeSection,25-05-2021 18:30:34
displayBookAge,25-05-2021 18:30:34
calculateDaysAvailable,25-05-2021 18:30:34
getBooksByAuthor,25-05-2021 18:30:34
addBook,25-05-2021 18:30:34
sortBooks,25-05-2021 18:30:34
printReader,25-05-2021 18:30:34
removeBook,25-05-2021 18:30:34
printReader,25-05-2021 18:30:34
removeAllBooks,25-05-2021 18:30:34
printReader,25-05-2021 18:30:34
getReadersByAge,25-05-2021 18:30:34
sortReadersAlphabetically,25-05-2021 18:30:34
changeSection,25-05-2021 18:31:07
displayBookAge,25-05-2021 18:31:07
calculateDaysAvailable,25-05-2021 18:31:07
getBooksByAuthor,25-05-2021 18:31:07
addBook,25-05-2021 18:31:07
sortBooks,25-05-2021 18:31:07
printReader,25-05-2021 18:31:07
removeBook,25-05-2021 18:31:07
printReader,25-05-2021 18:31:07
removeAllBooks,25-05-2021 18:31:07
printReader,25-05-2021 18:31:07
getReadersByAge,25-05-2021 18:31:07
sortReadersAlphabetically,25-05-2021 18:31:07
changeSection,25-05-2021 18:33:48
displayBookAge,25-05-2021 18:33:48
calculateDaysAvailable,25-05-2021 18:33:48
getBooksByAuthor,25-05-2021 18:33:48
addBook,25-05-2021 18:33:48
sortBooks,25-05-2021 18:33:48
printReader,25-05-2021 18:33:48
removeBook,25-05-2021 18:33:48
printReader,25-05-2021 18:33:48
removeAllBooks,25-05-2021 18:33:48
printReader,25-05-2021 18:33:48
getReadersByAge,25-05-2021 18:33:48
sortReadersAlphabetically,25-05-2021 18:33:48
Table SECTIONS dropped,25-05-2021 18:33:49
changeSection,25-05-2021 18:38:23
displayBookAge,25-05-2021 18:38:23
calculateDaysAvailable,25-05-2021 18:38:23
getBooksByAuthor,25-05-2021 18:38:23
addBook,25-05-2021 18:38:23
sortBooks,25-05-2021 18:38:23
printReader,25-05-2021 18:38:23
